1,Upenn,,,
849,History of Art Major,1,A
850,International Relations Major,1,A
851,International Studies & Business Major,1,A
852,Italian Language Study Major,1,A
853,Italian Studies Major,1,A
854,Jewish Studies Major,1,A
855,Korean Studies (Minor) Major,1,A
856,Latin American & Latino Studies Major,1,A
857,Legal Studies & History Major,1,A
858,Life Sciences & Management Major,1,A
859,Linguistics Major,1,A
860,"Logic, Information & Computation Major",1,A
861,Mathematics Major,1,A
862,Modern Middle Eastern Studies Major,1,A
863,Music Major,1,A
864,Near Eastern Languages & Civilizations Major,1,A
865,Nutrition Major,1,A
866,Organizations & Environmental Mgmt. Major,1,A
867,Philosophy Major,1,A
868,"Philosophy, Politics & Economics Major",1,A
869,Photography (Minor) Major,1,A
870,Physics & Astronomy Major,1,A
871,Political Science Major,1,A
872,Psychology Major,1,A
873,Religious Studies Major,1,A
874,"Science, Technology & Society Major",1,A
875,Slavic Languages Major,1,A
876,Sociology Major,1,A
877,South Asia Studies Major,1,A
878,Spanish Language Study Major,1,A
879,Theatre Arts Major,1,A
880,Urban Education Major,1,A
881,Urban Real Estate & Development Major,1,A
882,Urban Studies Major,1,A
883,Visual Studies Major,1,A
884,Bioengineering Major,1,A
885,Chemical and Biomolecular Engineering Major,1,A
886,Computer and Information Science Major,1,A
887,Electrical and Systems Engineering Major,1,A
888,Materials Science and Engineering Major,1,A
889,Mechanical Engineering and Applied Mechanics Major,1,A
890,Accounting Concentration,1,A
891,Actuarial Science Concentration,1,A
892,Business and Public Policy Concentration,1,A
893,Entrepreneurship & Innovation Concentration,1,A
894,Environmental Policy & Management Concentration,1,A
895,Finance Concentration,1,A
896,Global Analysis Concentration,1,A
897,Health Care Management and Policy Concentration,1,A
898,Individualized Concentration,1,A
899,Insurance and Risk Management Concentration,1,A
900,Legal Studies & Business Ethics Concentration,1,A
901,Management Concentration,1,A
902,Managing Electronic Commerce Concentration,1,A
903,Marketing Concentration,1,A
904,Marketing & Communication Concentration,1,A
905,Operations and Information Management Concentration,1,A
906,Real Estate Concentration,1,A
907,Retailing Concentration,1,A
908,Statistics Concentration,1,A
909,Transportation Concentration,1,A
910,Nursing Student,1,A
911,Penn Transfer Students,1,A
912,Transfer Class Entering in 2004,911,A
913,Transfer Class Entering in 2005,911,A
914,Transfer Class Entering in 2006,911,A
915,Transfer Class Entering in 2007,911,A
575,On-Campus Housing Residents,911,D
576,Stouffer College House,575,D
577,Mayer Hall,576,D
578,Mayer 2nd Floor,577,D
579,Mayer 3rd Floor,577,D
580,Mayer 4th Floor,577,D
581,Mayer 5th Floor,577,D
582,Mayer 6th Floor,577,D
583,Mayer 7th Floor,577,D
584,Stouffer Hall,576,D
585,Stouffer A Section,584,D
586,Stouffer B Section,584,D
587,Stouffer C Section,584,D
588,Stouffer D Section,584,D
589,Stouffer E Section,584,D
590,Stouffer F Section,584,D
591,Harrison College House,575,D
592,Harrison 1st Floor,591,D
593,Harrison 2nd Floor,591,D
